character,accuracy,correct,total,percentage_%
57:'9',0.6629933367503844,2587,3902,66.29933367503844
50:'2',0.6718948707079271,3170,4718,67.18948707079271
56:'8',0.6964163433006163,3051,4381,69.64163433006163
52:'4',0.6990935219986735,3162,4523,69.90935219986734
53:'5',0.7195121951219512,2832,3936,71.95121951219512
54:'6',0.7416419805332205,3505,4726,74.16419805332205
51:'3',0.744967978042086,3257,4372,74.4967978042086
49:'1',0.7572150660361976,4644,6133,75.72150660361976
55:'7',0.7645536869340233,2955,3865,76.45536869340232
48:'0',0.7952886529528865,4794,6028,79.52886529528865
