character,accuracy,correct,total,percentage_%
8:'\x08',0.07169811320754717,19,265,7.169811320754717
156:'\x9c',0.08602150537634409,16,186,8.60215053763441
173:'\xad',0.08706467661691543,35,402,8.706467661691542
18:'\x12',0.08717948717948718,34,390,8.717948717948717
3:'\x03',0.08722741433021806,28,321,8.722741433021806
175:'¯',0.09020618556701031,35,388,9.02061855670103
151:'\x97',0.09278350515463918,18,194,9.278350515463918
135:'\x87',0.09545454545454546,21,220,9.545454545454547
157:'\x9d',0.10989010989010989,20,182,10.989010989010989
133:'\x85',0.11507936507936507,29,252,11.507936507936508
141:'\x8d',0.11515151515151516,19,165,11.515151515151516
136:'\x88',0.11538461538461539,27,234,11.538461538461538
10:'\n',0.11693548387096774,29,248,11.693548387096774
29:'\x1d',0.12,51,425,12.0
155:'\x9b',0.12234042553191489,23,188,12.23404255319149
21:'\x15',0.12526997840172785,58,463,12.526997840172784
23:'\x17',0.12680115273775217,44,347,12.680115273775217
142:'\x8e',0.12745098039215685,26,204,12.745098039215685
11:'\x0b',0.128,32,250,12.8
150:'\x96',0.1282051282051282,25,195,12.82051282051282
16:'\x10',0.12878787878787878,51,396,12.878787878787879
153:'\x99',0.12886597938144329,25,194,12.886597938144329
127:'\x7f',0.13385826771653545,34,254,13.385826771653544
159:'\x9f',0.13513513513513514,25,185,13.513513513513514
7:'\x07',0.1368421052631579,39,285,13.684210526315791
25:'\x19',0.1370309951060359,84,613,13.70309951060359
185:'¹',0.13740458015267176,54,393,13.740458015267176
122:'z',0.13785557986870897,63,457,13.785557986870897
200:'È',0.13866666666666666,52,375,13.866666666666665
130:'\x82',0.14084507042253522,30,213,14.084507042253522
22:'\x16',0.1419939577039275,47,331,14.19939577039275
124:'|',0.14412416851441243,65,451,14.412416851441243
20:'\x14',0.1471861471861472,68,462,14.71861471861472
4:'\x04',0.14743589743589744,46,312,14.743589743589745
138:'\x8a',0.14746543778801843,32,217,14.746543778801843
183:'·',0.14766839378238342,57,386,14.766839378238341
137:'\x89',0.15,33,220,15.0
196:'Ä',0.15328467153284672,63,411,15.328467153284672
5:'\x05',0.15339233038348082,52,339,15.339233038348082
149:'\x95',0.15454545454545454,34,220,15.454545454545453
134:'\x86',0.15454545454545454,34,220,15.454545454545453
132:'\x84',0.15579710144927536,43,276,15.579710144927535
170:'ª',0.1564625850340136,69,441,15.646258503401361
19:'\x13',0.15723270440251572,75,477,15.723270440251572
111:'o',0.15779092702169625,80,507,15.779092702169626
154:'\x9a',0.15873015873015872,30,189,15.873015873015872
128:'\x80',0.1651376146788991,36,218,16.51376146788991
145:'\x91',0.16725978647686832,47,281,16.72597864768683
143:'\x8f',0.1683673469387755,33,196,16.83673469387755
140:'\x8c',0.17040358744394618,38,223,17.040358744394617
148:'\x94',0.1732283464566929,44,254,17.322834645669293
121:'y',0.17555555555555555,79,450,17.555555555555554
24:'\x18',0.17786561264822134,90,506,17.786561264822133
27:'\x1b',0.17914438502673796,67,374,17.914438502673796
129:'\x81',0.1792452830188679,38,212,17.92452830188679
160:'\xa0',0.18110236220472442,46,254,18.11023622047244
147:'\x93',0.18181818181818182,46,253,18.181818181818183
139:'\x8b',0.18181818181818182,28,154,18.181818181818183
1:'\x01',0.18284424379232506,81,443,18.284424379232505
131:'\x83',0.18396226415094338,39,212,18.39622641509434
115:'s',0.1848341232227488,78,422,18.48341232227488
217:'Ù',0.18562874251497005,93,501,18.562874251497004
112:'p',0.1857451403887689,86,463,18.57451403887689
203:'Ë',0.18622448979591838,73,392,18.622448979591837
"39:""'""",0.18867924528301888,90,477,18.867924528301888
109:'m',0.18925233644859812,81,428,18.925233644859812
186:'º',0.19082125603864733,79,414,19.082125603864732
105:'i',0.19282511210762332,86,446,19.282511210762333
31:'\x1f',0.1942675159235669,61,314,19.426751592356688
120:'x',0.19614711033274956,112,571,19.614711033274958
158:'\x9e',0.1978021978021978,36,182,19.78021978021978
229:'å',0.19883040935672514,68,342,19.883040935672515
239:'ï',0.2033898305084746,72,354,20.33898305084746
197:'Å',0.20435967302452315,75,367,20.435967302452315
26:'\x1a',0.20458265139116202,125,611,20.458265139116204
14:'\x0e',0.20522388059701493,55,268,20.522388059701495
201:'É',0.20528455284552846,101,492,20.528455284552845
227:'ã',0.207492795389049,72,347,20.7492795389049
235:'ë',0.20797720797720798,73,351,20.7977207977208
168:'¨',0.20919540229885059,91,435,20.919540229885058
222:'Þ',0.21005917159763313,71,338,21.005917159763314
225:'á',0.21114369501466276,72,341,21.114369501466275
12:'\x0c',0.2125,68,320,21.25
117:'u',0.21333333333333335,96,450,21.333333333333336
179:'³',0.2133676092544987,83,389,21.336760925449873
61:'=',0.21458333333333332,103,480,21.458333333333332
13:'\r',0.21610169491525424,51,236,21.610169491525426
6:'\x06',0.21670428893905191,96,443,21.670428893905193
108:'l',0.21797752808988763,97,445,21.79775280898876
228:'ä',0.21865889212827988,75,343,21.865889212827987
110:'n',0.22321428571428573,100,448,22.321428571428573
250:'ú',0.22437673130193905,81,361,22.437673130193904
224:'à',0.22740524781341107,78,343,22.740524781341108
58:':',0.22869955156950672,153,669,22.869955156950674
163:'£',0.23043478260869565,106,460,23.043478260869566
188:'¼',0.23194748358862144,106,457,23.194748358862142
214:'Ö',0.23275862068965517,81,348,23.275862068965516
118:'v',0.2340909090909091,103,440,23.40909090909091
242:'ò',0.2344139650872818,94,401,23.44139650872818
144:'\x90',0.23465703971119134,65,277,23.465703971119133
98:'b',0.23541666666666666,113,480,23.541666666666668
246:'ö',0.23564954682779457,78,331,23.564954682779458
232:'è',0.23728813559322035,84,354,23.728813559322035
233:'é',0.23728813559322035,84,354,23.728813559322035
226:'â',0.2375366568914956,81,341,23.75366568914956
99:'c',0.23773584905660378,126,530,23.77358490566038
30:'\x1e',0.24310344827586206,141,580,24.310344827586206
178:'²',0.2446043165467626,102,417,24.46043165467626
9:'\t',0.24596774193548387,61,248,24.596774193548388
251:'û',0.24793388429752067,90,363,24.793388429752067
193:'Á',0.24871794871794872,97,390,24.871794871794872
119:'w',0.248868778280543,110,442,24.8868778280543
97:'a',0.25370919881305637,171,674,25.370919881305635
152:'\x98',0.2553191489361702,48,188,25.53191489361702
194:'Â',0.25647668393782386,99,386,25.647668393782386
114:'r',0.25934579439252337,111,428,25.934579439252335
184:'¸',0.2593516209476309,104,401,25.935162094763093
103:'g',0.2606741573033708,116,445,26.06741573033708
252:'ü',0.2615803814713896,96,367,26.158038147138964
