font,samples,accuracy,accuracy_%
E13B,4718,0.854387452310301,85.44
VIN,218,0.8532110091743119,85.32
HANDPRINT,13998,0.7848264037719674,78.48
OCRB,18706,0.7475676253608468,74.76
OCRA,13077,0.7208075246616197,72.08
NUMERICS,2780,0.7115107913669064,71.15
MONEY,1499,0.6904603068712475,69.05
CREDITCARD,5928,0.6703778677462888,67.04
PROXY,1375,0.6349090909090909,63.49
ROMANTIC,363,0.5950413223140496,59.5
BELL,186,0.543010752688172,54.3
TAI,512,0.53515625,53.52
MINGLIU,303,0.4884488448844885,48.84
CALISTO,190,0.47368421052631576,47.37
BASKERVILLE,185,0.4702702702702703,47.03
BITSTREAMVERA,478,0.46234309623430964,46.23
PMINGLIU-EXTB,162,0.4567901234567901,45.68
SANSSERIF,384,0.4557291666666667,45.57
MAIANDRA,231,0.4329004329004329,43.29
MONOSPAC821,206,0.4320388349514563,43.2
ARIAL,5257,0.42857142857142855,42.86
ROCKWELL,607,0.4233937397034596,42.34
BRITANNIC,189,0.42328042328042326,42.33
BODONI,768,0.421875,42.19
IMPRINT,193,0.41968911917098445,41.97
FOOTLIGHT,196,0.413265306122449,41.33
PERPETUA,410,0.4121951219512195,41.22
DUTCH801,433,0.4110854503464203,41.11
BOOK,510,0.40588235294117647,40.59
TW,735,0.40408163265306124,40.41
QUICKTYPE,344,0.4011627906976744,40.12
SITKA,3630,0.39228650137741045,39.23
BERLIN,422,0.3862559241706161,38.63
HIGH TOWER,231,0.3852813852813853,38.53
ERAS,738,0.38482384823848237,38.48
GLOUCESTER,209,0.37799043062200954,37.8
SWIS721,2662,0.37415477084898574,37.42
MYANMAR,351,0.358974358974359,35.9
TECHNIC,1113,0.34591194968553457,34.59
SCRIPTB,200,0.345,34.5
GEORGIA,502,0.34462151394422313,34.46
MODERN,195,0.3435897435897436,34.36
CENTURY,1600,0.343125,34.31
CENTAUR,193,0.34196891191709844,34.2
FRANKLIN,3140,0.3356687898089172,33.57
ENGRAVERS,176,0.3352272727272727,33.52
VIVALDI,185,0.33513513513513515,33.51
COOPER,183,0.3333333333333333,33.33
RICHARD,187,0.3315508021390374,33.16
CONSTANTIA,582,0.32989690721649484,32.99
WIDE,198,0.32323232323232326,32.32
ELEPHANT,192,0.3229166666666667,32.29
ONYX,181,0.32044198895027626,32.04
CALIFORNIAN,199,0.3165829145728643,31.66
GILL,1185,0.31645569620253167,31.65
FELIX TITLING,193,0.3160621761658031,31.61
JAVANESE,238,0.31512605042016806,31.51
NINA,455,0.3142857142857143,31.43
COPPERPLATE,386,0.31088082901554404,31.09
PHAGSPA,473,0.3107822410147992,31.08
MAGNETO,198,0.30808080808080807,30.81
HARLOW,202,0.3069306930693069,30.69
BANKGOTHIC,468,0.3055555555555556,30.56
CORBEL,595,0.3042016806722689,30.42
BRUSH,183,0.3005464480874317,30.05
GARAMOND,540,0.2962962962962963,29.63
VERDANA,735,0.2925170068027211,29.25
BOOKMAN,503,0.2922465208747515,29.22
CANDARA,619,0.29079159935379645,29.08
TREBUCHET,569,0.28998242530755713,29.0
CASTELLAR,221,0.2895927601809955,28.96
MONOTYPE,538,0.2825278810408922,28.25
BAITI,323,0.28173374613003094,28.17
GOUDY,378,0.2777777777777778,27.78
KRISTEN,225,0.27555555555555555,27.56
LUCIDA,3036,0.2750329380764163,27.5
MATURA,204,0.2696078431372549,26.96
LEELAWADEE,1091,0.26581118240146656,26.58
EUROROMAN,373,0.26541554959785524,26.54
ROMAN,982,0.2637474541751528,26.37
ISOC,1886,0.2635206786850477,26.35
GUNPLAY,205,0.2634146341463415,26.34
TEMPUS,195,0.26153846153846155,26.15
STYLUS,226,0.2610619469026549,26.11
SUPERFRENCH,345,0.25507246376811593,25.51
ENGLISH,198,0.25252525252525254,25.25
HARRINGTON,181,0.24861878453038674,24.86
FORTE,181,0.24861878453038674,24.86
CAARD,342,0.24561403508771928,24.56
VINER,200,0.245,24.5
MONOTXT,250,0.244,24.4
BERNARD,181,0.2430939226519337,24.31
COMPLEX,299,0.23076923076923078,23.08
TXT,295,0.2305084745762712,23.05
BROADWAY,198,0.2222222222222222,22.22
CURLZ,186,0.22043010752688172,22.04
STENCIL,192,0.21875,21.88
SYLFAEN,654,0.21865443425076453,21.87
PANROMAN,364,0.21703296703296704,21.7
PALATINO,841,0.2164090368608799,21.64
REFERENCE,956,0.21548117154811716,21.55
AGENCY,211,0.2132701421800948,21.33
COMIC,492,0.20934959349593496,20.93
SNAP,226,0.2079646017699115,20.8
FRENCH,211,0.2037914691943128,20.38
PLAYBILL,198,0.20202020202020202,20.2
ITALIC,719,0.20166898470097358,20.17
BAUHAUS,185,0.2,20.0
BRADLEY,205,0.1951219512195122,19.51
COUNTRYBLUEPRINT,339,0.19469026548672566,19.47
GADUGI,855,0.19064327485380117,19.06
CITYBLUEPRINT,342,0.19005847953216373,19.01
COMMERCIALSCRIPT,245,0.18775510204081633,18.78
RAVIE,210,0.18571428571428572,18.57
NIAGARA,378,0.18518518518518517,18.52
SIMPLEX,321,0.1838006230529595,18.38
HIMALAYA,374,0.18181818181818182,18.18
JOKERMAN,201,0.1791044776119403,17.91
MV_BOLI,213,0.1784037558685446,17.84
TIMES,2572,0.17768273716951788,17.77
SEGOE,15972,0.17086150763836713,17.09
CONSOLAS,1809,0.16860143725815369,16.86
IMPACT,564,0.16134751773049646,16.13
CALIBRI,3835,0.15932203389830507,15.93
GIGI,184,0.15760869565217392,15.76
PAPYRUS,176,0.1534090909090909,15.34
SHOWCARD,179,0.15083798882681565,15.08
