character,accuracy,correct,total,percentage_%
8:'\x08',0.07169811320754717,19,265,7.169811320754717
156:'\x9c',0.08602150537634409,16,186,8.60215053763441
173:'\xad',0.08706467661691543,35,402,8.706467661691542
18:'\x12',0.08717948717948718,34,390,8.717948717948717
3:'\x03',0.08722741433021806,28,321,8.722741433021806
175:'¯',0.09020618556701031,35,388,9.02061855670103
151:'\x97',0.09278350515463918,18,194,9.278350515463918
135:'\x87',0.09545454545454546,21,220,9.545454545454547
157:'\x9d',0.10989010989010989,20,182,10.989010989010989
133:'\x85',0.11507936507936507,29,252,11.507936507936508
