character,accuracy,correct,total,percentage_%
78:'N',0.7115577889447237,708,995,71.15577889447236
57:'9',0.7232188621219887,2822,3902,72.32188621219888
43:'+',0.7279596977329975,867,1191,72.79596977329975
49:'1',0.7653676830262515,4694,6133,76.53676830262515
48:'0',0.7692435301924353,4637,6028,76.92435301924353
51:'3',0.7698993595608418,3366,4372,76.98993595608418
54:'6',0.7814219212865002,3693,4726,78.14219212865002
53:'5',0.7982723577235772,3142,3936,79.82723577235772
60:'<',0.821376281112738,1683,2049,82.1376281112738
55:'7',0.8390685640362225,3243,3865,83.90685640362226
