character,accuracy,correct,total,percentage_%
153:'\x99',0.005154639175257732,1,194,0.5154639175257731
151:'\x97',0.030927835051546393,6,194,3.0927835051546393
8:'\x08',0.03773584905660377,10,265,3.7735849056603774
159:'\x9f',0.03783783783783784,7,185,3.783783783783784
185:'¹',0.03816793893129771,15,393,3.816793893129771
23:'\x17',0.043227665706051875,15,347,4.322766570605188
127:'\x7f',0.047244094488188976,12,254,4.724409448818897
157:'\x9d',0.04945054945054945,9,182,4.945054945054945
135:'\x87',0.05,11,220,5.0
16:'\x10',0.050505050505050504,20,396,5.05050505050505
150:'\x96',0.05128205128205128,10,195,5.128205128205128
138:'\x8a',0.055299539170506916,12,217,5.529953917050691
124:'|',0.05543237250554324,25,451,5.543237250554324
139:'\x8b',0.05844155844155844,9,154,5.844155844155844
156:'\x9c',0.05913978494623656,11,186,5.913978494623656
154:'\x9a',0.06349206349206349,12,189,6.349206349206349
134:'\x86',0.06363636363636363,14,220,6.363636363636363
155:'\x9b',0.06382978723404255,12,188,6.382978723404255
20:'\x14',0.06926406926406926,32,462,6.926406926406926
18:'\x12',0.07435897435897436,29,390,7.435897435897436
149:'\x95',0.07727272727272727,17,220,7.727272727272727
175:'¯',0.07731958762886598,30,388,7.731958762886598
170:'ª',0.07936507936507936,35,441,7.936507936507936
179:'³',0.08226221079691516,32,389,8.226221079691516
27:'\x1b',0.08288770053475936,31,374,8.288770053475936
3:'\x03',0.08722741433021806,28,321,8.722741433021806
108:'l',0.08764044943820225,39,445,8.764044943820224
140:'\x8c',0.09417040358744394,21,223,9.417040358744394
132:'\x84',0.09782608695652174,27,276,9.782608695652174
7:'\x07',0.09824561403508772,28,285,9.824561403508772
11:'\x0b',0.1,25,250,10.0
160:'\xa0',0.1062992125984252,27,254,10.62992125984252
115:'s',0.1066350710900474,45,422,10.66350710900474
136:'\x88',0.10683760683760683,25,234,10.683760683760683
130:'\x82',0.11737089201877934,25,213,11.737089201877934
129:'\x81',0.1179245283018868,25,212,11.79245283018868
26:'\x1a',0.12111292962356793,74,611,12.111292962356792
143:'\x8f',0.12244897959183673,24,196,12.244897959183673
5:'\x05',0.12389380530973451,42,339,12.389380530973451
141:'\x8d',0.12727272727272726,21,165,12.727272727272727
21:'\x15',0.12742980561555076,59,463,12.742980561555076
"39:""'""",0.1278825995807128,61,477,12.78825995807128
19:'\x13',0.1278825995807128,61,477,12.78825995807128
128:'\x80',0.12844036697247707,28,218,12.844036697247708
145:'\x91',0.13167259786476868,37,281,13.167259786476867
99:'c',0.1320754716981132,70,530,13.20754716981132
137:'\x89',0.1409090909090909,31,220,14.09090909090909
4:'\x04',0.14102564102564102,44,312,14.102564102564102
131:'\x83',0.14150943396226415,30,212,14.150943396226415
173:'\xad',0.1417910447761194,57,402,14.17910447761194
186:'º',0.14492753623188406,60,414,14.492753623188406
111:'o',0.14595660749506903,74,507,14.595660749506903
25:'\x19',0.14845024469820556,91,613,14.845024469820556
148:'\x94',0.14960629921259844,38,254,14.960629921259844
118:'v',0.15,66,440,15.0
142:'\x8e',0.15196078431372548,31,204,15.196078431372548
0:'\x00',0.15358361774744028,45,293,15.358361774744028
183:'·',0.15803108808290156,61,386,15.803108808290157
133:'\x85',0.1626984126984127,41,252,16.26984126984127
12:'\x0c',0.165625,53,320,16.5625
122:'z',0.16849015317286653,77,457,16.849015317286653
9:'\t',0.1693548387096774,42,248,16.93548387096774
147:'\x93',0.16996047430830039,43,253,16.99604743083004
117:'u',0.1711111111111111,77,450,17.11111111111111
120:'x',0.1733800350262697,99,571,17.338003502626968
10:'\n',0.17338709677419356,43,248,17.338709677419356
24:'\x18',0.18379446640316205,93,506,18.379446640316203
158:'\x9e',0.18681318681318682,34,182,18.681318681318682
243:'ó',0.1906005221932115,73,383,19.06005221932115
31:'\x1f',0.1910828025477707,60,314,19.10828025477707
161:'¡',0.20434782608695654,94,460,20.434782608695652
110:'n',0.20535714285714285,92,448,20.535714285714285
1:'\x01',0.2076749435665914,92,443,20.767494356659142
