font,samples,accuracy,accuracy_%
NUMERICS,2780,0.9629496402877697,96.29
E13B,4718,0.9590928359474353,95.91
OCRB,18706,0.9056452475141665,90.56
OCRA,13077,0.8793301215875201,87.93
MONEY,1499,0.85657104736491,85.66
VIN,218,0.8348623853211009,83.49
BITSTREAMVERA,478,0.7489539748953975,74.9
HANDPRINT,13998,0.7437491070152878,74.37
CALISTO,190,0.6947368421052632,69.47
BELL,186,0.6612903225806451,66.13
BASKERVILLE,185,0.654054054054054,65.41
FOOTLIGHT,196,0.6428571428571429,64.29
BRITANNIC,189,0.6296296296296297,62.96
SANSSERIF,384,0.6197916666666666,61.98
PMINGLIU-EXTB,162,0.6172839506172839,61.73
ROCKWELL,607,0.5914332784184514,59.14
QUICKTYPE,344,0.5872093023255814,58.72
MAIANDRA,231,0.5844155844155844,58.44
TAI,512,0.58203125,58.2
ROMANTIC,363,0.581267217630854,58.13
IMPRINT,193,0.5699481865284974,56.99
HIGH TOWER,231,0.5627705627705628,56.28
MINGLIU,303,0.5610561056105611,56.11
TW,735,0.5510204081632653,55.1
PROXY,1375,0.5498181818181819,54.98
MONOSPAC821,206,0.5242718446601942,52.43
GLOUCESTER,209,0.5167464114832536,51.67
PERPETUA,410,0.5121951219512195,51.22
DUTCH801,433,0.5103926096997691,51.04
CENTAUR,193,0.5077720207253886,50.78
ERAS,738,0.5040650406504065,50.41
SWIS721,2662,0.4932381667918858,49.32
RICHARD,187,0.47593582887700536,47.59
COPPERPLATE,386,0.47150259067357514,47.15
FELIX TITLING,193,0.47150259067357514,47.15
BERLIN,422,0.45023696682464454,45.02
BODONI,768,0.4453125,44.53
ARIAL,5257,0.44245767548031195,44.25
ENGRAVERS,176,0.4375,43.75
GEORGIA,502,0.43227091633466136,43.23
JAVANESE,238,0.42857142857142855,42.86
SITKA,3630,0.42699724517906334,42.7
STYLUS,226,0.4247787610619469,42.48
CALIFORNIAN,199,0.41708542713567837,41.71
BANKGOTHIC,468,0.41452991452991456,41.45
MYANMAR,351,0.4131054131054131,41.31
BOOK,510,0.4117647058823529,41.18
MODERN,195,0.41025641025641024,41.03
GILL,1185,0.40675105485232066,40.68
COOPER,183,0.40437158469945356,40.44
