character,accuracy,correct,total,percentage_%
153:'\x99',0.005154639175257732,1,194,0.5154639175257731
151:'\x97',0.030927835051546393,6,194,3.0927835051546393
8:'\x08',0.03773584905660377,10,265,3.7735849056603774
159:'\x9f',0.03783783783783784,7,185,3.783783783783784
185:'¹',0.03816793893129771,15,393,3.816793893129771
23:'\x17',0.043227665706051875,15,347,4.322766570605188
127:'\x7f',0.047244094488188976,12,254,4.724409448818897
157:'\x9d',0.04945054945054945,9,182,4.945054945054945
135:'\x87',0.05,11,220,5.0
16:'\x10',0.050505050505050504,20,396,5.05050505050505
