character,accuracy,correct,total,percentage_%
76:'L',0.6215316315205327,560,901,62.15316315205327
80:'P',0.6346782988004362,582,917,63.467829880043624
36:'$',0.6390197926484449,678,1061,63.901979264844485
40:'(',0.661697247706422,577,872,66.1697247706422
51:'3',0.6724611161939615,2940,4372,67.24611161939616
43:'+',0.707808564231738,843,1191,70.7808564231738
62:'>',0.7155519742143432,888,1241,71.55519742143433
55:'7',0.732470892626132,2831,3865,73.2470892626132
47:'/',0.7786483839373164,795,1021,77.86483839373165
60:'<',0.7999023914104442,1639,2049,79.99023914104441
