character,accuracy,correct,total,percentage_%
0:'\x00',0.0,0,293,0.0
108:'l',0.0,0,445,0.0
120:'x',0.0,0,571,0.0
121:'y',0.0,0,450,0.0
124:'|',0.0,0,451,0.0
129:'\x81',0.0,0,212,0.0
132:'\x84',0.0,0,276,0.0
134:'\x86',0.0,0,220,0.0
135:'\x87',0.0,0,220,0.0
136:'\x88',0.0,0,234,0.0
139:'\x8b',0.0,0,154,0.0
144:'\x90',0.0,0,277,0.0
99:'c',0.0,0,530,0.0
147:'\x93',0.0,0,253,0.0
149:'\x95',0.0,0,220,0.0
150:'\x96',0.0,0,195,0.0
151:'\x97',0.0,0,194,0.0
153:'\x99',0.0,0,194,0.0
155:'\x9b',0.0,0,188,0.0
160:'\xa0',0.0,0,254,0.0
161:'¡',0.0,0,460,0.0
175:'¯',0.0,0,388,0.0
176:'°',0.0,0,423,0.0
193:'Á',0.0,0,390,0.0
205:'Í',0.0,0,361,0.0
148:'\x94',0.0,0,254,0.0
27:'\x1b',0.0,0,374,0.0
127:'\x7f',0.0,0,254,0.0
16:'\x10',0.0,0,396,0.0
3:'\x03',0.0,0,321,0.0
2:'\x02',0.0,0,639,0.0
8:'\x08',0.0,0,265,0.0
26:'\x1a',0.0,0,611,0.0
4:'\x04',0.0,0,312,0.0
20:'\x14',0.0,0,462,0.0
5:'\x05',0.0,0,339,0.0
21:'\x15',0.0,0,463,0.0
111:'o',0.0019723865877712033,1,507,0.19723865877712032
24:'\x18',0.001976284584980237,1,506,0.1976284584980237
122:'z',0.002188183807439825,1,457,0.2188183807439825
242:'ò',0.0024937655860349127,1,401,0.24937655860349126
195:'Ã',0.0026041666666666665,1,384,0.26041666666666663
204:'Ì',0.0026246719160104987,1,381,0.26246719160104987
45:'-',0.003500583430571762,3,857,0.3500583430571762
19:'\x13',0.0041928721174004195,2,477,0.41928721174004197
140:'\x8c',0.004484304932735426,1,223,0.4484304932735426
128:'\x80',0.0045871559633027525,1,218,0.45871559633027525
138:'\x8a',0.004608294930875576,1,217,0.4608294930875576
186:'º',0.004830917874396135,2,414,0.4830917874396135
154:'\x9a',0.005291005291005291,1,189,0.5291005291005291
91:'[',0.005597014925373134,3,536,0.5597014925373134
213:'Õ',0.006006006006006006,2,333,0.6006006006006006
141:'\x8d',0.006060606060606061,1,165,0.6060606060606061
31:'\x1f',0.006369426751592357,2,314,0.6369426751592357
7:'\x07',0.007017543859649123,2,285,0.7017543859649122
115:'s',0.0071090047393364926,3,422,0.7109004739336493
12:'\x0c',0.009375,3,320,0.9375
173:'\xad',0.009950248756218905,4,402,0.9950248756218906
217:'Ù',0.00998003992015968,5,501,0.998003992015968
166:'¦',0.010025062656641603,4,399,1.0025062656641603
185:'¹',0.010178117048346057,4,393,1.0178117048346056
14:'\x0e',0.011194029850746268,3,268,1.1194029850746268
206:'Î',0.0113314447592068,4,353,1.13314447592068
170:'ª',0.011337868480725623,5,441,1.1337868480725624
"39:""'""",0.012578616352201259,6,477,1.257861635220126
63:'?',0.01282051282051282,6,468,1.282051282051282
142:'\x8e',0.014705882352941176,3,204,1.4705882352941175
152:'\x98',0.015957446808510637,3,188,1.5957446808510638
38:'&',0.016741071428571428,15,896,1.6741071428571428
254:'þ',0.01675977653631285,6,358,1.675977653631285
103:'g',0.017977528089887642,8,445,1.7977528089887642
146:'\x92',0.0196078431372549,8,408,1.9607843137254901
11:'\x0b',0.02,5,250,2.0
105:'i',0.020179372197309416,9,446,2.0179372197309418
199:'Ç',0.020833333333333332,11,528,2.083333333333333
197:'Å',0.021798365122615803,8,367,2.17983651226158
157:'\x9d',0.02197802197802198,4,182,2.197802197802198
211:'Ó',0.023323615160349854,8,343,2.3323615160349855
228:'ä',0.023323615160349854,8,343,2.3323615160349855
215:'×',0.02359882005899705,8,339,2.359882005899705
97:'a',0.02373887240356083,16,674,2.3738872403560833
236:'ì',0.025495750708215296,9,353,2.5495750708215295
201:'É',0.026422764227642278,13,492,2.642276422764228
118:'v',0.029545454545454545,13,440,2.9545454545454546
1:'\x01',0.03160270880361174,14,443,3.160270880361174
145:'\x91',0.03202846975088968,9,281,3.202846975088968
240:'ð',0.03206997084548105,11,343,3.206997084548105
18:'\x12',0.03333333333333333,13,390,3.3333333333333335
98:'b',0.03333333333333333,16,480,3.3333333333333335
13:'\r',0.03389830508474576,8,236,3.389830508474576
58:':',0.03736920777279522,25,669,3.7369207772795217
23:'\x17',0.037463976945244955,13,347,3.7463976945244957
96:'`',0.03994673768308921,30,751,3.9946737683089215
6:'\x06',0.040632054176072234,18,443,4.063205417607223
255:'ÿ',0.04142011834319527,7,169,4.142011834319527
32:' ',0.041758241758241756,19,455,4.175824175824175
126:'~',0.041811846689895474,24,574,4.181184668989547
207:'Ï',0.04297994269340974,15,349,4.297994269340974
159:'\x9f',0.043243243243243246,8,185,4.324324324324325
179:'³',0.043701799485861184,17,389,4.370179948586118
229:'å',0.043859649122807015,15,342,4.385964912280701
158:'\x9e',0.04945054945054945,9,182,4.945054945054945
117:'u',0.051111111111111114,23,450,5.111111111111112
22:'\x16',0.0513595166163142,17,331,5.13595166163142
104:'h',0.05273833671399594,26,493,5.273833671399594
156:'\x9c',0.053763440860215055,10,186,5.376344086021505
226:'â',0.05571847507331378,19,341,5.571847507331378
219:'Û',0.0574468085106383,27,470,5.74468085106383
223:'ß',0.058823529411764705,20,340,5.88235294117647
133:'\x85',0.05952380952380952,15,252,5.952380952380952
234:'ê',0.06353591160220995,23,362,6.353591160220995
237:'í',0.06515580736543909,23,353,6.515580736543909
