font,samples,accuracy,accuracy_%
E13B,4718,0.8516320474777448,85.16
OCRB,18706,0.8254036138137496,82.54
NUMERICS,2780,0.7967625899280576,79.68
OCRA,13077,0.7780836583314216,77.81
VIN,218,0.7339449541284404,73.39
BITSTREAMVERA,478,0.6924686192468619,69.25
MONEY,1499,0.66711140760507,66.71
HIGH TOWER,231,0.4675324675324675,46.75
CALISTO,190,0.3631578947368421,36.32
BELL,186,0.3602150537634409,36.02
SANSSERIF,384,0.3515625,35.16
MAIANDRA,231,0.3463203463203463,34.63
QUICKTYPE,344,0.32558139534883723,32.56
ROMANTIC,363,0.31955922865013775,31.96
KRISTEN,225,0.3111111111111111,31.11
COPPERPLATE,386,0.3082901554404145,30.83
FOOTLIGHT,196,0.3010204081632653,30.1
PMINGLIU-EXTB,162,0.2962962962962963,29.63
MONOSPAC821,206,0.2961165048543689,29.61
HANDPRINT,13998,0.28354050578654094,28.35
RICHARD,187,0.28342245989304815,28.34
CENTAUR,193,0.27979274611398963,27.98
BASKERVILLE,185,0.2756756756756757,27.57
ARIAL,5257,0.27315959672817197,27.32
ROCKWELL,607,0.27182866556836904,27.18
CALIFORNIAN,199,0.271356783919598,27.14
PERPETUA,410,0.2634146341463415,26.34
ERAS,738,0.26151761517615174,26.15
BODONI,768,0.2578125,25.78
IMPRINT,193,0.2538860103626943,25.39
BANKGOTHIC,468,0.25,25.0
BRITANNIC,189,0.24867724867724866,24.87
STYLUS,226,0.24778761061946902,24.78
TW,735,0.24489795918367346,24.49
GOUDY,378,0.24074074074074073,24.07
JAVANESE,238,0.23529411764705882,23.53
TAI,512,0.234375,23.44
SWIS721,2662,0.2336589030803907,23.37
CREDITCARD,5928,0.2324561403508772,23.25
DUTCH801,433,0.23094688221709006,23.09
MODERN,195,0.23076923076923078,23.08
ENGRAVERS,176,0.22727272727272727,22.73
TEMPUS,195,0.22564102564102564,22.56
GLOUCESTER,209,0.22488038277511962,22.49
TECHNIC,1113,0.22461814914645103,22.46
MINGLIU,303,0.22442244224422442,22.44
JOKERMAN,201,0.22388059701492538,22.39
WIDE,198,0.2222222222222222,22.22
ENGLISH,198,0.21212121212121213,21.21
RAVIE,210,0.20952380952380953,20.95
BRADLEY,205,0.2,20.0
ELEPHANT,192,0.19791666666666666,19.79
FELIX TITLING,193,0.19689119170984457,19.69
BAITI,323,0.19504643962848298,19.5
GEORGIA,502,0.19123505976095617,19.12
PAPYRUS,176,0.1875,18.75
BRUSH,183,0.18579234972677597,18.58
BERLIN,422,0.1848341232227488,18.48
COMIC,492,0.18292682926829268,18.29
CANDARA,619,0.17932148626817448,17.93
COOPER,183,0.17486338797814208,17.49
GIGI,184,0.17391304347826086,17.39
MYANMAR,351,0.1737891737891738,17.38
HARRINGTON,181,0.1712707182320442,17.13
ONYX,181,0.1712707182320442,17.13
HIMALAYA,374,0.16844919786096257,16.84
CURLZ,186,0.16666666666666666,16.67
SCRIPTB,200,0.165,16.5
BOOK,510,0.16470588235294117,16.47
LUCIDA,3036,0.16469038208168643,16.47
BOOKMAN,503,0.16302186878727634,16.3
CASTELLAR,221,0.16289592760180996,16.29
VIVALDI,185,0.16216216216216217,16.22
MAGNETO,198,0.16161616161616163,16.16
CONSTANTIA,582,0.16151202749140894,16.15
CAARD,342,0.1608187134502924,16.08
CORBEL,595,0.15966386554621848,15.97
MATURA,204,0.1568627450980392,15.69
BROADWAY,198,0.15656565656565657,15.66
SITKA,3630,0.15564738292011018,15.56
TREBUCHET,569,0.1546572934973638,15.47
GILL,1185,0.15358649789029535,15.36
ROMAN,982,0.15173116089613034,15.17
EUROROMAN,373,0.15013404825737264,15.01
SNAP,226,0.14601769911504425,14.6
FRENCH,211,0.14218009478672985,14.22
MV_BOLI,213,0.14084507042253522,14.08
CENTURY,1600,0.13875,13.88
FORTE,181,0.13812154696132597,13.81
PHAGSPA,473,0.13530655391120508,13.53
VINER,200,0.135,13.5
CHILLER,195,0.13333333333333333,13.33
GOTHICE,272,0.1323529411764706,13.24
RAGE,169,0.1301775147928994,13.02
CITYBLUEPRINT,342,0.1286549707602339,12.87
AGENCY,211,0.12796208530805686,12.8
GARAMOND,540,0.1259259259259259,12.59
FREESTYLE,207,0.12560386473429952,12.56
TIMES,2572,0.12441679626749612,12.44
FRANKLIN,3140,0.12388535031847134,12.39
VERDANA,735,0.12380952380952381,12.38
HARLOW,202,0.12376237623762376,12.38
JUICE,198,0.12121212121212122,12.12
NINA,455,0.12087912087912088,12.09
ISOC,1886,0.11930010604453871,11.93
GUNPLAY,205,0.11707317073170732,11.71
COMPLEX,299,0.11705685618729098,11.71
PRISTINA,188,0.11702127659574468,11.7
BERNARD,181,0.11602209944751381,11.6
BLACKADDER,182,0.11538461538461539,11.54
SUPERFRENCH,345,0.11304347826086956,11.3
SHOWCARD,179,0.11173184357541899,11.17
NIAGARA,378,0.1111111111111111,11.11
MONOTYPE,538,0.10966542750929369,10.97
LEELAWADEE,1091,0.10632447296058661,10.63
PROXY,1375,0.10545454545454545,10.55
BAUHAUS,185,0.0972972972972973,9.73
PALATINO,841,0.09631391200951249,9.63
PALACE,168,0.09523809523809523,9.52
SYLFAEN,654,0.09327217125382263,9.33
BUXTON,483,0.09109730848861283,9.11
COMMERCIALSCRIPT,245,0.08979591836734693,8.98
GABRIOLA,701,0.0884450784593438,8.84
REFERENCE,956,0.08682008368200837,8.68
GADUGI,855,0.08654970760233918,8.65
STENCIL,192,0.08333333333333333,8.33
VINETA,219,0.0821917808219178,8.22
ITALIC,719,0.08066759388038942,8.07
PANROMAN,364,0.07692307692307693,7.69
TXT,295,0.07457627118644068,7.46
NIRMALA,1876,0.0730277185501066,7.3
COURIER,2444,0.07242225859247135,7.24
PLAYBILL,198,0.0707070707070707,7.07
KUNSTLER,173,0.06936416184971098,6.94
MONOTXT,250,0.068,6.8
COUNTRYBLUEPRINT,339,0.06784660766961652,6.78
SKETCHFLOW,332,0.06626506024096386,6.63
SIMPLEX,321,0.06542056074766354,6.54
VLADIMIR,189,0.06349206349206349,6.35
MISTRAL,516,0.06201550387596899,6.2
EDWARDIAN,178,0.06179775280898876,6.18
CONSOLAS,1809,0.05914870093974572,5.91
INFORMAL,220,0.05909090909090909,5.91
CAMBRIA,1970,0.05431472081218274,5.43
IMPACT,564,0.051418439716312055,5.14
SEGOE,15972,0.0505259203606311,5.05
EBRIMA,1337,0.0493642483171279,4.94
HAETTENSCHWEILER,478,0.04811715481171548,4.81
YI BAITI,1206,0.04643449419568822,4.64
CALIBRI,3835,0.04485006518904824,4.49
TAHOMA,2675,0.03252336448598131,3.25
SCRIPT,438,0.02968036529680365,2.97
SERIF,2606,0.028779739063699156,2.88
