character,accuracy,correct,total,percentage_%
56:'8',0.9123487788176216,3997,4381,91.23487788176216
57:'9',0.9149154279856484,3570,3902,91.49154279856484
53:'5',0.9250508130081301,3641,3936,92.505081300813
51:'3',0.9252058554437328,4045,4372,92.52058554437328
55:'7',0.9316946959896507,3601,3865,93.16946959896507
50:'2',0.9357778719796523,4415,4718,93.57778719796524
49:'1',0.9414642100114137,5774,6133,94.14642100114136
52:'4',0.9484855184611983,4290,4523,94.84855184611983
48:'0',0.9515593895155939,5736,6028,95.15593895155939
54:'6',0.9593736775285654,4534,4726,95.93736775285655
