font,samples,accuracy,accuracy_%
NUMERICS,2780,0.9978417266187051,99.78
E13B,4718,0.9974565493853328,99.75
OCRA,13077,0.9870000764701384,98.7
OCRB,18706,0.9846038704159094,98.46
MONEY,1499,0.9826551034022681,98.27
VIN,218,0.981651376146789,98.17
HANDPRINT,13998,0.9512787541077297,95.13
CREDITCARD,5928,0.9343792172739541,93.44
BITSTREAMVERA,478,0.9267782426778243,92.68
PROXY,1375,0.8952727272727272,89.53
MINGLIU,303,0.8844884488448845,88.45
BASKERVILLE,185,0.8756756756756757,87.57
PMINGLIU-EXTB,162,0.8703703703703703,87.04
ROCKWELL,607,0.8632619439868204,86.33
FOOTLIGHT,196,0.8622448979591837,86.22
GLOUCESTER,209,0.861244019138756,86.12
MAIANDRA,231,0.8528138528138528,85.28
CALISTO,190,0.8526315789473684,85.26
HIGH TOWER,231,0.8484848484848485,84.85
BELL,186,0.8387096774193549,83.87
ROMANTIC,363,0.8347107438016529,83.47
BRITANNIC,189,0.8201058201058201,82.01
SCRIPTB,200,0.82,82.0
VIVALDI,185,0.8108108108108109,81.08
QUICKTYPE,344,0.8081395348837209,80.81
HARLOW,202,0.7970297029702971,79.7
TW,735,0.7959183673469388,79.59
ONYX,181,0.7955801104972375,79.56
MAGNETO,198,0.7929292929292929,79.29
COOPER,183,0.7923497267759563,79.23
RICHARD,187,0.786096256684492,78.61
SANSSERIF,384,0.7838541666666666,78.39
BODONI,768,0.78125,78.12
DUTCH801,433,0.7806004618937644,78.06
ERAS,738,0.7764227642276422,77.64
BRUSH,183,0.7759562841530054,77.6
CENTAUR,193,0.772020725388601,77.2
SITKA,3630,0.7674931129476584,76.75
BERLIN,422,0.7582938388625592,75.83
IMPRINT,193,0.7512953367875648,75.13
ISOC,1886,0.7465535524920467,74.66
CALIFORNIAN,199,0.7437185929648241,74.37
WIDE,198,0.7424242424242424,74.24
PALACE,168,0.7380952380952381,73.81
ELEPHANT,192,0.734375,73.44
MONOSPAC821,206,0.7184466019417476,71.84
GILL,1185,0.7113924050632912,71.14
MONOTYPE,538,0.70817843866171,70.82
MODERN,195,0.7076923076923077,70.77
FRANKLIN,3140,0.7031847133757961,70.32
ARIAL,5257,0.7007799124976222,70.08
PERPETUA,410,0.7,70.0
TAI,512,0.69921875,69.92
CITYBLUEPRINT,342,0.695906432748538,69.59
CONSTANTIA,582,0.6941580756013745,69.42
KRISTEN,225,0.6933333333333334,69.33
NINA,455,0.6923076923076923,69.23
CORBEL,595,0.6873949579831933,68.74
GEORGIA,502,0.6772908366533864,67.73
BOOK,510,0.6745098039215687,67.45
CANDARA,619,0.6736672051696284,67.37
SWIS721,2662,0.6705484598046582,67.05
TREBUCHET,569,0.655536028119508,65.55
CENTURY,1600,0.651875,65.19
COPPERPLATE,386,0.6476683937823834,64.77
TEMPUS,195,0.6461538461538462,64.62
STYLUS,226,0.6460176991150443,64.6
VERDANA,735,0.636734693877551,63.67
TXT,295,0.6338983050847458,63.39
MATURA,204,0.6323529411764706,63.24
PHAGSPA,473,0.6321353065539113,63.21
TECHNIC,1113,0.6316262353998203,63.16
PAPYRUS,176,0.6306818181818182,63.07
ROMAN,982,0.6242362525458248,62.42
COUNTRYBLUEPRINT,339,0.6224188790560472,62.24
ITALIC,719,0.6147426981919333,61.47
BOOKMAN,503,0.6063618290258449,60.64
GARAMOND,540,0.6055555555555555,60.56
MONOTXT,250,0.604,60.4
NIAGARA,378,0.6031746031746031,60.32
ENGRAVERS,176,0.6022727272727273,60.23
GUNPLAY,205,0.5951219512195122,59.51
GOUDY,378,0.5925925925925926,59.26
FORTE,181,0.5911602209944752,59.12
BAUHAUS,185,0.5891891891891892,58.92
JAVANESE,238,0.5882352941176471,58.82
BERNARD,181,0.580110497237569,58.01
SNAP,226,0.5752212389380531,57.52
LUCIDA,3036,0.5747694334650857,57.48
AGENCY,211,0.5687203791469194,56.87
COMPLEX,299,0.5618729096989966,56.19
BROADWAY,198,0.5555555555555556,55.56
FELIX TITLING,193,0.5544041450777202,55.44
LEELAWADEE,1091,0.5490375802016498,54.9
RAVIE,210,0.5476190476190477,54.76
JOKERMAN,201,0.5422885572139303,54.23
HARRINGTON,181,0.5414364640883977,54.14
CAARD,342,0.5321637426900585,53.22
SIMPLEX,321,0.5264797507788161,52.65
COMIC,492,0.524390243902439,52.44
SYLFAEN,654,0.5229357798165137,52.29
PLAYBILL,198,0.5202020202020202,52.02
BANKGOTHIC,468,0.5170940170940171,51.71
SUPERFRENCH,345,0.5159420289855072,51.59
CURLZ,186,0.5053763440860215,50.54
SEGOE,15972,0.5028174305033809,50.28
ENGLISH,198,0.5,50.0
PANROMAN,364,0.4945054945054945,49.45
EUROROMAN,373,0.4932975871313673,49.33
BAITI,323,0.49226006191950467,49.23
MV_BOLI,213,0.48826291079812206,48.83
STENCIL,192,0.4791666666666667,47.92
REFERENCE,956,0.4790794979079498,47.91
VINER,200,0.475,47.5
CALIBRI,3835,0.47170795306388524,47.17
CASTELLAR,221,0.47058823529411764,47.06
BRADLEY,205,0.4682926829268293,46.83
MYANMAR,351,0.4672364672364672,46.72
CONSOLAS,1809,0.44168048645660585,44.17
PALATINO,841,0.4351961950059453,43.52
TIMES,2572,0.3965785381026439,39.66
IMPACT,564,0.39184397163120566,39.18
INFORMAL,220,0.39090909090909093,39.09
HIMALAYA,374,0.3877005347593583,38.77
