character,accuracy,correct,total,percentage_%
159:'\x9f',0.13513513513513514,25,185,13.513513513513514
156:'\x9c',0.13978494623655913,26,186,13.978494623655912
157:'\x9d',0.17582417582417584,32,182,17.582417582417584
16:'\x10',0.1919191919191919,76,396,19.19191919191919
153:'\x99',0.1958762886597938,38,194,19.587628865979383
18:'\x12',0.2153846153846154,84,390,21.53846153846154
151:'\x97',0.22164948453608246,43,194,22.164948453608247
150:'\x96',0.23076923076923078,45,195,23.076923076923077
132:'\x84',0.2318840579710145,64,276,23.18840579710145
21:'\x15',0.23974082073434125,111,463,23.974082073434126
