character,accuracy,correct,total,percentage_%
57:'9',0.7234751409533573,2823,3902,72.34751409533573
62:'>',0.7244157937147462,899,1241,72.44157937147462
43:'+',0.743073047858942,885,1191,74.3073047858942
49:'1',0.745312245230719,4571,6133,74.5312245230719
48:'0',0.7539814200398142,4545,6028,75.39814200398142
54:'6',0.7687261955141769,3633,4726,76.87261955141769
51:'3',0.7737877401646843,3383,4372,77.37877401646843
53:'5',0.8097052845528455,3187,3936,80.97052845528455
60:'<',0.8316251830161054,1704,2049,83.16251830161055
55:'7',0.8452781371280724,3267,3865,84.52781371280724
