character,accuracy,correct,total,percentage_%
127:'\x7f',0.0,0,254,0.0
153:'\x99',0.0,0,194,0.0
154:'\x9a',0.0,0,189,0.0
155:'\x9b',0.0,0,188,0.0
156:'\x9c',0.0,0,186,0.0
27:'\x1b',0.0,0,374,0.0
158:'\x9e',0.0,0,182,0.0
159:'\x9f',0.0,0,185,0.0
23:'\x17',0.0,0,347,0.0
160:'\xa0',0.0,0,254,0.0
20:'\x14',0.0,0,462,0.0
139:'\x8b',0.0,0,154,0.0
151:'\x97',0.0,0,194,0.0
138:'\x8a',0.0,0,217,0.0
150:'\x96',0.0,0,195,0.0
186:'º',0.0,0,414,0.0
134:'\x86',0.0,0,220,0.0
11:'\x0b',0.0,0,250,0.0
3:'\x03',0.0,0,321,0.0
4:'\x04',0.0,0,312,0.0
8:'\x08',0.0,0,265,0.0
135:'\x87',0.0,0,220,0.0
185:'¹',0.0,0,393,0.0
170:'ª',0.0022675736961451248,1,441,0.22675736961451248
184:'¸',0.0024937655860349127,1,401,0.24937655860349126
18:'\x12',0.002564102564102564,1,390,0.2564102564102564
5:'\x05',0.0029498525073746312,1,339,0.2949852507374631
7:'\x07',0.0035087719298245615,1,285,0.3508771929824561
149:'\x95',0.004545454545454545,1,220,0.45454545454545453
115:'s',0.004739336492890996,2,422,0.47393364928909953
179:'³',0.005141388174807198,2,389,0.5141388174807198
175:'¯',0.005154639175257732,2,388,0.5154639175257731
124:'|',0.008869179600886918,4,451,0.8869179600886918
31:'\x1f',0.009554140127388535,3,314,0.9554140127388535
24:'\x18',0.009881422924901186,5,506,0.9881422924901186
143:'\x8f',0.01020408163265306,2,196,1.0204081632653061
157:'\x9d',0.01098901098901099,2,182,1.098901098901099
118:'v',0.011363636363636364,5,440,1.1363636363636365
"39:""'""",0.012578616352201259,6,477,1.257861635220126
183:'·',0.012953367875647668,5,386,1.2953367875647668
122:'z',0.01312910284463895,6,457,1.312910284463895
140:'\x8c',0.013452914798206279,3,223,1.345291479820628
129:'\x81',0.014150943396226415,3,212,1.4150943396226416
21:'\x15',0.01511879049676026,7,463,1.511879049676026
16:'\x10',0.015151515151515152,6,396,1.5151515151515151
12:'\x0c',0.015625,5,320,1.5625
111:'o',0.015779092702169626,8,507,1.5779092702169626
117:'u',0.02,9,450,2.0
110:'n',0.020089285714285716,9,448,2.0089285714285716
19:'\x13',0.020964360587002098,10,477,2.0964360587002098
102:'f',0.022448979591836733,11,490,2.2448979591836733
108:'l',0.02247191011235955,10,445,2.247191011235955
99:'c',0.022641509433962263,12,530,2.2641509433962264
178:'²',0.026378896882494004,11,417,2.6378896882494005
137:'\x89',0.02727272727272727,6,220,2.727272727272727
132:'\x84',0.03260869565217391,9,276,3.260869565217391
120:'x',0.03327495621716287,19,571,3.327495621716287
1:'\x01',0.033860045146726865,15,443,3.3860045146726865
0:'\x00',0.034129692832764506,10,293,3.4129692832764507
142:'\x8e',0.03431372549019608,7,204,3.431372549019608
113:'q',0.035794183445190156,16,447,3.5794183445190155
26:'\x1a',0.03600654664484452,22,611,3.600654664484452
161:'¡',0.03695652173913044,17,460,3.6956521739130435
152:'\x98',0.03723404255319149,7,188,3.723404255319149
130:'\x82',0.03755868544600939,8,213,3.755868544600939
136:'\x88',0.038461538461538464,9,234,3.8461538461538463
58:':',0.03886397608370702,26,669,3.8863976083707024
145:'\x91',0.03914590747330961,11,281,3.9145907473309607
243:'ó',0.04177545691906005,16,383,4.177545691906006
141:'\x8d',0.04242424242424243,7,165,4.242424242424243
104:'h',0.04259634888438134,21,493,4.259634888438134
98:'b',0.04583333333333333,22,480,4.583333333333333
128:'\x80',0.045871559633027525,10,218,4.587155963302752
176:'°',0.04728132387706856,20,423,4.7281323877068555
119:'w',0.04751131221719457,21,442,4.751131221719457
133:'\x85',0.047619047619047616,12,252,4.761904761904762
173:'\xad',0.04975124378109453,20,402,4.975124378109453
163:'£',0.05217391304347826,24,460,5.217391304347826
63:'?',0.053418803418803416,25,468,5.3418803418803416
13:'\r',0.05508474576271186,13,236,5.508474576271186
116:'t',0.056,28,500,5.6000000000000005
144:'\x90',0.05776173285198556,16,277,5.776173285198556
9:'\t',0.06048387096774194,15,248,6.048387096774194
244:'ô',0.06128133704735376,22,359,6.128133704735376
201:'É',0.06300813008130081,31,492,6.300813008130081
147:'\x93',0.06324110671936758,16,253,6.324110671936759
25:'\x19',0.06525285481239804,40,613,6.525285481239804
131:'\x83',0.0660377358490566,14,212,6.60377358490566
211:'Ó',0.06705539358600583,23,343,6.705539358600583
14:'\x0e',0.06716417910447761,18,268,6.7164179104477615
107:'k',0.06866952789699571,32,466,6.866952789699571
250:'ú',0.06925207756232687,25,361,6.9252077562326875
223:'ß',0.07058823529411765,24,340,7.0588235294117645
148:'\x94',0.07086614173228346,18,254,7.086614173228346
10:'\n',0.07661290322580645,19,248,7.661290322580645
2:'\x02',0.07668231611893583,49,639,7.668231611893583
121:'y',0.08222222222222222,37,450,8.222222222222223
242:'ò',0.08229426433915212,33,401,8.229426433915211
105:'i',0.08295964125560538,37,446,8.295964125560538
28:'\x1c',0.08463251670378619,38,449,8.463251670378618
205:'Í',0.08587257617728532,31,361,8.587257617728532
219:'Û',0.08723404255319149,41,470,8.72340425531915
32:' ',0.09010989010989011,41,455,9.010989010989011
225:'á',0.09090909090909091,31,341,9.090909090909092
217:'Ù',0.09181636726546906,46,501,9.181636726546905
114:'r',0.09579439252336448,41,428,9.579439252336448
180:'´',0.09620253164556962,38,395,9.620253164556962
61:'=',0.10416666666666667,50,480,10.416666666666668
246:'ö',0.11178247734138973,37,331,11.178247734138973
228:'ä',0.11370262390670553,39,343,11.370262390670554
212:'Ô',0.1148036253776435,38,331,11.48036253776435
251:'û',0.1184573002754821,43,363,11.84573002754821
240:'ð',0.119533527696793,41,343,11.9533527696793
97:'a',0.12314540059347182,83,674,12.314540059347182
192:'À',0.12655601659751037,61,482,12.655601659751037
29:'\x1d',0.12705882352941175,54,425,12.705882352941176
233:'é',0.1271186440677966,45,354,12.711864406779661
203:'Ë',0.12755102040816327,50,392,12.755102040816327
112:'p',0.13174946004319654,61,463,13.174946004319654
226:'â',0.13196480938416422,45,341,13.196480938416421
254:'þ',0.1340782122905028,48,358,13.40782122905028
234:'ê',0.13535911602209943,49,362,13.535911602209943
106:'j',0.13588110403397027,64,471,13.588110403397028
236:'ì',0.1359773371104816,48,353,13.59773371104816
146:'\x92',0.13725490196078433,56,408,13.725490196078432
91:'[',0.13805970149253732,74,536,13.805970149253731
193:'Á',0.14102564102564102,55,390,14.102564102564102
22:'\x16',0.1419939577039275,47,331,14.19939577039275
249:'ù',0.14285714285714285,48,336,14.285714285714285
181:'µ',0.14775725593667546,56,379,14.775725593667547
238:'î',0.1497175141242938,53,354,14.971751412429379
79:'O',0.15082382762991128,119,789,15.082382762991129
239:'ï',0.15254237288135594,54,354,15.254237288135593
103:'g',0.15280898876404495,68,445,15.280898876404494
15:'\x0f',0.15458937198067632,64,414,15.458937198067632
197:'Å',0.15803814713896458,58,367,15.803814713896458
191:'¿',0.15968586387434555,61,382,15.968586387434556
255:'ÿ',0.15976331360946747,27,169,15.976331360946746
210:'Ò',0.16519174041297935,56,339,16.519174041297934
207:'Ï',0.16905444126074498,59,349,16.9054441260745
224:'à',0.16909620991253643,58,343,16.909620991253643
214:'Ö',0.1724137931034483,60,348,17.24137931034483
229:'å',0.17251461988304093,59,342,17.251461988304094
168:'¨',0.17701149425287357,77,435,17.70114942528736
231:'ç',0.17746478873239438,63,355,17.74647887323944
194:'Â',0.17875647668393782,69,386,17.875647668393782
248:'ø',0.1791044776119403,60,335,17.91044776119403
188:'¼',0.17943107221006566,82,457,17.943107221006567
196:'Ä',0.18004866180048662,74,411,18.004866180048662
204:'Ì',0.18110236220472442,69,381,18.11023622047244
237:'í',0.1813031161473088,64,353,18.13031161473088
6:'\x06',0.18961625282167044,84,443,18.961625282167045
227:'ã',0.19020172910662825,66,347,19.020172910662826
213:'Õ',0.19519519519519518,65,333,19.51951951951952
218:'Ú',0.20816326530612245,102,490,20.816326530612244
93:']',0.21991701244813278,106,482,21.991701244813278
172:'¬',0.2224168126094571,127,571,22.241681260945708
232:'è',0.2231638418079096,79,354,22.316384180790962
101:'e',0.22416534181240064,141,629,22.416534181240063
235:'ë',0.22507122507122507,79,351,22.507122507122507
230:'æ',0.23136246786632392,90,389,23.13624678663239
73:'I',0.2349066959385291,214,911,23.490669593852907
206:'Î',0.23512747875354106,83,353,23.512747875354105
199:'Ç',0.23674242424242425,125,528,23.674242424242426
200:'È',0.23733333333333334,89,375,23.733333333333334
100:'d',0.24233128834355827,158,652,24.233128834355828
252:'ü',0.24250681198910082,89,367,24.250681198910083
