font,samples,accuracy,accuracy_%
NUMERICS,2780,0.9640287769784173,96.4
E13B,4718,0.9510385756676558,95.1
OCRB,18706,0.8822837592216402,88.23
MONEY,1499,0.8585723815877252,85.86
OCRA,13077,0.826948076776019,82.69
VIN,218,0.8119266055045872,81.19
HANDPRINT,13998,0.7100300042863266,71.0
BITSTREAMVERA,478,0.6694560669456067,66.95
CALISTO,190,0.5263157894736842,52.63
BELL,186,0.4731182795698925,47.31
BASKERVILLE,185,0.4594594594594595,45.95
FOOTLIGHT,196,0.45918367346938777,45.92
QUICKTYPE,344,0.438953488372093,43.9
HIGH TOWER,231,0.4329004329004329,43.29
BRITANNIC,189,0.41798941798941797,41.8
ROMANTIC,363,0.41597796143250687,41.6
TAI,512,0.412109375,41.21
SANSSERIF,384,0.4114583333333333,41.15
PMINGLIU-EXTB,162,0.4074074074074074,40.74
IMPRINT,193,0.40414507772020725,40.41
MAIANDRA,231,0.39826839826839827,39.83
PERPETUA,410,0.3951219512195122,39.51
ROCKWELL,607,0.39373970345963755,39.37
MINGLIU,303,0.3927392739273927,39.27
RICHARD,187,0.39037433155080214,39.04
PROXY,1375,0.38472727272727275,38.47
MONOSPAC821,206,0.38349514563106796,38.35
COPPERPLATE,386,0.38341968911917096,38.34
FELIX TITLING,193,0.37823834196891193,37.82
ERAS,738,0.37398373983739835,37.4
CALIFORNIAN,199,0.37185929648241206,37.19
ARIAL,5257,0.3709339927715427,37.09
DUTCH801,433,0.3556581986143187,35.57
TW,735,0.3551020408163265,35.51
GLOUCESTER,209,0.3444976076555024,34.45
SWIS721,2662,0.3444778362133734,34.45
CREDITCARD,5928,0.3442982456140351,34.43
CENTAUR,193,0.34196891191709844,34.2
BODONI,768,0.3268229166666667,32.68
BANKGOTHIC,468,0.3162393162393162,31.62
JAVANESE,238,0.31512605042016806,31.51
ENGRAVERS,176,0.3125,31.25
GOUDY,378,0.31216931216931215,31.22
BERLIN,422,0.3056872037914692,30.57
BAITI,323,0.30340557275541796,30.34
TECHNIC,1113,0.29829290206648695,29.83
PAPYRUS,176,0.29545454545454547,29.55
AGENCY,211,0.2938388625592417,29.38
STYLUS,226,0.2920353982300885,29.2
KRISTEN,225,0.28888888888888886,28.89
MYANMAR,351,0.28774928774928776,28.77
MODERN,195,0.28717948717948716,28.72
WIDE,198,0.2828282828282828,28.28
CASTELLAR,221,0.28054298642533937,28.05
SCRIPTB,200,0.28,28.0
ELEPHANT,192,0.2760416666666667,27.6
COOPER,183,0.273224043715847,27.32
VIVALDI,185,0.2702702702702703,27.03
BROADWAY,198,0.2676767676767677,26.77
BOOK,510,0.26666666666666666,26.67
GILL,1185,0.26582278481012656,26.58
FORTE,181,0.26519337016574585,26.52
ONYX,181,0.26519337016574585,26.52
BRADLEY,205,0.25853658536585367,25.85
TXT,295,0.2542372881355932,25.42
BERNARD,181,0.2541436464088398,25.41
BRUSH,183,0.25136612021857924,25.14
TEMPUS,195,0.2512820512820513,25.13
STENCIL,192,0.25,25.0
CURLZ,186,0.24731182795698925,24.73
GEORGIA,502,0.2450199203187251,24.5
ROMAN,982,0.24439918533604887,24.44
EUROROMAN,373,0.24396782841823056,24.4
SITKA,3630,0.24380165289256198,24.38
BAUHAUS,185,0.24324324324324326,24.32
GUNPLAY,205,0.23902439024390243,23.9
LUCIDA,3036,0.23616600790513834,23.62
HIMALAYA,374,0.23529411764705882,23.53
HARRINGTON,181,0.23204419889502761,23.2
CENTURY,1600,0.230625,23.06
NINA,455,0.22637362637362637,22.64
PHAGSPA,473,0.226215644820296,22.62
BOOKMAN,503,0.22266401590457258,22.27
FRANKLIN,3140,0.21624203821656052,21.62
MATURA,204,0.2107843137254902,21.08
CAARD,342,0.21052631578947367,21.05
CONSTANTIA,582,0.20446735395189003,20.45
JOKERMAN,201,0.20398009950248755,20.4
FRENCH,211,0.2037914691943128,20.38
LEELAWADEE,1091,0.20348304307974335,20.35
HARLOW,202,0.20297029702970298,20.3
GARAMOND,540,0.19814814814814816,19.81
ENGLISH,198,0.19696969696969696,19.7
MONOTXT,250,0.196,19.6
SHOWCARD,179,0.19553072625698323,19.55
ISOC,1886,0.1914103923647932,19.14
VINER,200,0.19,19.0
TREBUCHET,569,0.18980667838312829,18.98
CORBEL,595,0.1865546218487395,18.66
SYLFAEN,654,0.18654434250764526,18.65
ITALIC,719,0.18219749652294853,18.22
MAGNETO,198,0.18181818181818182,18.18
CITYBLUEPRINT,342,0.18128654970760233,18.13
SIMPLEX,321,0.1806853582554517,18.07
COMPLEX,299,0.1806020066889632,18.06
VERDANA,735,0.17959183673469387,17.96
GIGI,184,0.1793478260869565,17.93
CANDARA,619,0.17932148626817448,17.93
SUPERFRENCH,345,0.17681159420289855,17.68
PLAYBILL,198,0.17676767676767677,17.68
PANROMAN,364,0.17032967032967034,17.03
RAVIE,210,0.16666666666666666,16.67
TIMES,2572,0.1640746500777605,16.41
MONOTYPE,538,0.16356877323420074,16.36
COMIC,492,0.16056910569105692,16.06
PRISTINA,188,0.1595744680851064,15.96
SNAP,226,0.1592920353982301,15.93
COMMERCIALSCRIPT,245,0.15918367346938775,15.92
FREESTYLE,207,0.15458937198067632,15.46
RAGE,169,0.15384615384615385,15.38
NIAGARA,378,0.14814814814814814,14.81
GADUGI,855,0.14619883040935672,14.62
PALATINO,841,0.14149821640903687,14.15
REFERENCE,956,0.1401673640167364,14.02
VLADIMIR,189,0.13227513227513227,13.23
PALACE,168,0.13095238095238096,13.1
NIRMALA,1876,0.1257995735607676,12.58
GOTHICE,272,0.125,12.5
INFORMAL,220,0.12272727272727273,12.27
VINETA,219,0.1187214611872146,11.87
IMPACT,564,0.11524822695035461,11.52
GABRIOLA,701,0.11269614835948645,11.27
BLACKADDER,182,0.10989010989010989,10.99
KUNSTLER,173,0.10982658959537572,10.98
JUICE,198,0.10606060606060606,10.61
MV_BOLI,213,0.10328638497652583,10.33
COUNTRYBLUEPRINT,339,0.10029498525073746,10.03
COURIER,2444,0.0953355155482815,9.53
MISTRAL,516,0.09302325581395349,9.3
CHILLER,195,0.09230769230769231,9.23
HAETTENSCHWEILER,478,0.0899581589958159,9.0
SCRIPT,438,0.08904109589041095,8.9
EBRIMA,1337,0.08601346297681377,8.6
SEGOE,15972,0.08039068369646882,8.04
CAMBRIA,1970,0.07969543147208122,7.97
EDWARDIAN,178,0.07303370786516854,7.3
CALIBRI,3835,0.07014341590612777,7.01
YI BAITI,1206,0.06716417910447761,6.72
CONSOLAS,1809,0.06246545052515202,6.25
BUXTON,483,0.055900621118012424,5.59
SKETCHFLOW,332,0.05120481927710843,5.12
SERIF,2606,0.04796623177283193,4.8
TAHOMA,2675,0.045233644859813085,4.52
